hash,output_bit,mean_bias,max_bias
tabulation,57,0.036405,0.11758
tabulation,58,0.0327992,0.10874
tabulation,59,0.0340055,0.1161
tabulation,60,0.0367605,0.13435
tabulation,61,0.0401216,0.13428
tabulation,62,0.0361241,0.11857
tabulation,63,0.033908,0.0928
splitmix64,0,0.00104281,0.00346
splitmix64,1,0.00121203,0.00363
splitmix64,2,0.0014275,0.00533
splitmix64,3,0.00101234,0.00361
splitmix64,4,0.00133016,0.00419
splitmix64,5,0.0012425,0.00436
splitmix64,6,0.00124125,0.00319
splitmix64,7,0.00118172,0.00363
splitmix64,8,0.00126391,0.00515
splitmix64,9,0.00123547,0.00328
splitmix64,10,0.00142359,0.00385
splitmix64,11,0.00130672,0.00353
splitmix64,12,0.001085,0.00312
splitmix64,13,0.00119031,0.00342
splitmix64,14,0.00127328,0.00402
splitmix64,15,0.00137984,0.00514
splitmix64,16,0.00135906,0.00393
splitmix64,17,0.00126875,0.00358
splitmix64,18,0.00123547,0.00364
splitmix64,19,0.00118109,0.0039
splitmix64,20,0.00118781,0.00309
splitmix64,21,0.00131563,0.00416
splitmix64,22,0.00128188,0.00444
splitmix64,23,0.00115172,0.00308
splitmix64,24,0.00108484,0.00329
splitmix64,25,0.00144594,0.00459
splitmix64,26,0.00124219,0.00434
splitmix64,27,0.00137172,0.00415
splitmix64,28,0.00133,0.00393
splitmix64,29,0.00145734,0.00385
splitmix64,30,0.00149172,0.00489
splitmix64,31,0.00119781,0.00336
splitmix64,32,0.00127312,0.00483
splitmix64,33,0.00136969,0.00341
splitmix64,34,0.00132516,0.00368
splitmix64,35,0.00126594,0.00426
splitmix64,36,0.00142016,0.00649
splitmix64,37,0.00126641,0.00403
splitmix64,38,0.00129438,0.00419
splitmix64,39,0.00127234,0.00397
splitmix64,40,0.00128969,0.00429
splitmix64,41,0.00134547,0.00454
splitmix64,42,0.00121141,0.00321
splitmix64,43,0.00137797,0.00374
splitmix64,44,0.00115203,0.00295
splitmix64,45,0.00136734,0.0037
splitmix64,46,0.00135063,0.00363
splitmix64,47,0.00103266,0.00353
splitmix64,48,0.00151219,0.00474
splitmix64,49,0.00127187,0.00403
splitmix64,50,0.0016375,0.00511
splitmix64,51,0.00115109,0.0056
splitmix64,52,0.00142125,0.00533
splitmix64,53,0.00114141,0.00359
splitmix64,54,0.00131469,0.00458
splitmix64,55,0.00095125,0.00289
splitmix64,56,0.00122141,0.00457
splitmix64,57,0.00131516,0.00386
splitmix64,58,0.00125437,0.0042
splitmix64,59,0.00119328,0.00314
splitmix64,60,0.00126078,0.00412
splitmix64,61,0.00119422,0.00418
splitmix64,62,0.00126094,0.00379
splitmix64,63,0.00114297,0.00322
